10000000	161201393	2008733	161201393	514988	2009226	1.904553
20000000	323454710	4057564	323454710	1001857	4058545	3.697199
30000000	483514488	6160617	483514488	1622087	6162087	5.529421
40000000	644582644	8181219	644582644	2145017	8182849	7.370269
50000000	805672415	10240247	805672415	2667373	10242244	9.212070
60000000	967063426	12292539	967063426	3238072	12294890	11.051809
70000000	1122338895	14639108	1122338895	3221021	14641925	13.000103
80000000	1289103507	16361501	1289103507	4326210	16364600	14.733254
90000000	1452014711	18908447	1452014711	5165289	18912013	16.571128
100000000	1613587013	20463953	1613587013	5374060	20467945	18.417035
110000000	1772582447	23184196	1772582447	6312297	23188382	20.254088
120000000	1937088981	23909833	1937088981	5867065	23914338	22.149958
130000000	2097669627	27514865	2097669627	7431297	27519848	23.943088
140000000	2256090772	29233440	2256090772	7322527	29238756	25.834268
150000000	2417198214	30656431	2417198214	7936287	30661982	27.621605
160000000	2597332537	32717186	2597332537	8478747	32723102	29.476124
170000000	2629139816	30275306	2629139816	5031933	30281853	49.875785
180000000	2900556502	37468684	2900556502	10316014	37475465	33.144295
190000000	3065670861	39214395	3065670861	10746357	39221525	34.981649
200000000	3222266727	41653494	3222266727	11307764	41660967	36.837274
210000000	3384301220	43407430	3384301220	11845733	43415073	38.669798
220000000	3558333089	44235675	3558333089	11600627	44243725	40.596839
230000000	3711304667	47591040	3711304667	13141951	47599703	42.339010
240000000	3852463021	48647731	3852463021	11212208	48656513	44.500814
250000000	4031876455	51660102	4031876455	14028146	51669193	46.042083
