10000000	5729723	243238	5729723	204270	243543	1.342746
20000000	11358701	478058	11358701	407825	478544	2.669540
30000000	17172620	740592	17172620	613645	741151	4.020078
40000000	22878745	982742	22878745	818841	983432	5.333737
50000000	28588381	1224256	28588381	1036329	1225150	6.690396
60000000	34475299	1383935	34475299	1153509	1384989	8.026944
70000000	37863022	1733093	37863022	1377563	1734247	9.388545
80000000	45760705	1967868	45760705	1648406	1969145	10.700972
90000000	51501978	2210371	51501978	1843131	2211848	11.994472
100000000	57257507	2484196	57257507	2049998	2485769	13.327428
110000000	62899252	2697698	62899252	2278895	2699469	14.713671
120000000	68172937	2876170	68172937	2449827	2878025	16.386695
130000000	74315967	3243780	74315967	2725354	3245830	17.388281
140000000	80103303	3424213	80103303	2874697	3426295	18.667045
150000000	85680926	3665046	85680926	3095561	3667356	19.983491
160000000	91510421	3907482	91510421	3291615	3909896	21.386951
170000000	91594807	4144835	91594807	3368056	4147342	22.697659
180000000	102927319	4379614	102927319	3701026	4382320	24.062502
190000000	108795004	4656464	108795004	3881818	4659339	25.399904
200000000	114381448	4874705	114381448	4123743	4877812	26.747588
210000000	120107125	5159385	120107125	4350862	5162504	28.084570
220000000	124886833	5330634	124886833	4499130	5333835	29.406309
230000000	131555579	5602183	131555579	4731081	5605641	30.741663
240000000	129854973	5867427	129854973	4743933	5871016	32.017851
250000000	142785634	6116390	142785634	5169369	6120061	33.305467
