10000000	5753200	2029384	5753200	511056	2029659	1.788255
20000000	11463405	3993416	11463405	993422	3993757	3.449838
30000000	17207183	6165764	17207183	1712146	6166170	5.177777
40000000	22969673	8193426	22969673	2209251	8193978	6.900819
50000000	28703741	10209362	28703741	2804822	10210010	8.626342
60000000	34434650	12255641	34434650	3375459	12256371	10.346359
70000000	41767434	13600109	41767434	2025239	13601015	12.095210
80000000	45898405	16308749	45898405	4633042	16309671	13.788041
90000000	51634298	18357750	51634298	5228269	18358750	15.511062
100000000	57393112	20414421	57393112	5774379	20415542	17.234001
110000000	63107873	22466331	63107873	6198285	22467592	18.964286
120000000	68744824	23992647	68744824	5970676	23993933	20.669681
130000000	74584694	26647340	74584694	7394130	26648788	22.412288
140000000	80252347	29011860	80252347	8678097	29013305	24.171080
150000000	86100831	30582251	86100831	8598668	30583848	25.847058
160000000	91837162	32599144	91837162	9172367	32600882	27.571536
170000000	103183737	32676816	103183737	4495084	32678931	49.024648
180000000	103240951	36759764	103240951	10632615	36761628	31.024442
190000000	109046008	38736800	109046008	10992299	38738820	32.742692
200000000	114677860	41186683	114677860	11868025	41188751	34.481704
210000000	120631273	43068603	120631273	12307955	43072018	36.181210
220000000	126049717	43957309	126049717	10999241	43959587	37.890274
230000000	131999141	46885018	131999141	13238899	46887358	39.626361
240000000	143554722	46575343	143554722	5918568	46577891	41.411521
250000000	143461102	51095079	143461102	14521896	51097594	43.088163
